Date,open,high,low,close,tick_volume
2023-01-06 01:30:00,1.05248,1.0525,1.05194,1.05212,319
2023-01-06 01:45:00,1.05213,1.05221,1.05203,1.05206,186
2023-01-06 02:00:00,1.05209,1.05217,1.05189,1.05203,1001
2023-01-06 02:15:00,1.05206,1.0525,1.0520100000000001,1.05242,648
2023-01-06 02:30:00,1.05243,1.05305,1.05243,1.05292,803
2023-01-06 02:45:00,1.05294,1.05312,1.05261,1.0529,696
2023-01-06 03:00:00,1.05292,1.05326,1.05254,1.05258,774
2023-01-06 03:15:00,1.05258,1.0527,1.0524,1.05255,642
2023-01-06 03:30:00,1.05254,1.05263,1.05225,1.05243,492
2023-01-06 03:45:00,1.0525,1.05266,1.05236,1.0525,435
2023-01-06 04:00:00,1.05251,1.05326,1.0525,1.05326,527
2023-01-06 04:15:00,1.05324,1.05338,1.05306,1.05309,384
2023-01-06 04:30:00,1.05308,1.05312,1.05277,1.05293,495
2023-01-06 04:45:00,1.05295,1.053,1.05257,1.05265,613
2023-01-06 05:00:00,1.05266,1.0536,1.05259,1.05345,1022
2023-01-06 05:15:00,1.05346,1.05362,1.05299,1.05332,596
2023-01-06 05:30:00,1.05329,1.05343,1.05294,1.05331,664
2023-01-06 05:45:00,1.05331,1.05362,1.05318,1.05321,452
2023-01-06 06:00:00,1.05317,1.05317,1.05274,1.05305,405
2023-01-06 06:15:00,1.05306,1.05345,1.05306,1.05312,287
2023-01-06 06:30:00,1.05311,1.05323,1.05284,1.05292,227
2023-01-06 06:45:00,1.05292,1.05296,1.05242,1.05243,254
2023-01-06 07:00:00,1.05244,1.05253,1.05178,1.05191,421
2023-01-06 07:15:00,1.0519,1.05203,1.05149,1.05156,398
2023-01-06 07:30:00,1.05156,1.05191,1.05142,1.0517,460
2023-01-06 07:45:00,1.05173,1.05173,1.05106,1.05143,1372
2023-01-06 08:00:00,1.05148,1.05212,1.05141,1.052,779
2023-01-06 08:15:00,1.052,1.05218,1.05172,1.05188,532
2023-01-06 08:30:00,1.05189,1.05224,1.05183,1.05206,617
2023-01-06 08:45:00,1.05208,1.05212,1.05104,1.05127,729
2023-01-06 09:00:00,1.05124,1.05227,1.05103,1.05145,1918
2023-01-06 09:15:00,1.05145,1.05158,1.05098,1.05142,1574
2023-01-06 09:30:00,1.05141,1.05193,1.05072,1.05167,1628
2023-01-06 09:45:00,1.05165,1.05217,1.05127,1.05127,1533
2023-01-06 10:00:00,1.05128,1.05298,1.05112,1.0522,2007
2023-01-06 10:15:00,1.05217,1.0531,1.05188,1.05188,1559
2023-01-06 10:30:00,1.05187,1.05246,1.05157,1.05238,1482
2023-01-06 10:45:00,1.05238,1.05266,1.05168,1.05186,1074
2023-01-06 11:00:00,1.05185,1.05196,1.05147,1.05153,1281
2023-01-06 11:15:00,1.05153,1.05174,1.04968,1.05076,1821
2023-01-06 11:30:00,1.05076,1.05159,1.05066,1.05067,1523
2023-01-06 11:45:00,1.05067,1.05092,1.05049,1.05075,1171
2023-01-06 12:00:00,1.05075,1.0516,1.05073,1.05136,1569
2023-01-06 12:15:00,1.05135,1.05157,1.05032,1.05046,1181
2023-01-06 12:30:00,1.05048,1.05161,1.05047,1.0514000000000001,1131
2023-01-06 12:45:00,1.0514000000000001,1.05156,1.05069,1.05077,1159
2023-01-06 13:00:00,1.05077,1.05113,1.05047,1.05065,1234
2023-01-06 13:15:00,1.05063,1.05089,1.05034,1.0507900000000001,1032
2023-01-06 13:30:00,1.0507900000000001,1.05097,1.04995,1.05007,1092
2023-01-06 13:45:00,1.05008,1.05015,1.04924,1.04943,1038
2023-01-06 14:00:00,1.04947,1.04966,1.04832,1.04907,1310
2023-01-06 14:15:00,1.04911,1.04944,1.04887,1.0491,971
2023-01-06 14:30:00,1.0491,1.04934,1.04866,1.04904,1220
2023-01-06 14:45:00,1.04905,1.04965,1.04879,1.04946,1331
2023-01-06 15:00:00,1.04947,1.05013,1.0489,1.04998,1720
2023-01-06 15:15:00,1.04993,1.05011,1.04944,1.04953,1956
2023-01-06 15:30:00,1.04865,1.05312,1.04865,1.0524499999999999,5698
2023-01-06 15:45:00,1.05248,1.0545,1.0521,1.05426,4569
2023-01-06 16:00:00,1.05426,1.05432,1.05268,1.05311,3312
2023-01-06 16:15:00,1.0531,1.05333,1.05188,1.05209,2737
2023-01-06 16:30:00,1.05209,1.05336,1.05024,1.05038,3368
2023-01-06 16:45:00,1.05034,1.05179,1.05011,1.05088,3069
2023-01-06 17:00:00,1.05355,1.05771,1.05242,1.05675,5695
2023-01-06 17:15:00,1.05675,1.06,1.05675,1.05816,4455
2023-01-06 17:30:00,1.05815,1.06057,1.05801,1.06007,3640
2023-01-06 17:45:00,1.06008,1.06125,1.06002,1.06019,3140
2023-01-06 18:00:00,1.06018,1.06136,1.0596700000000001,1.06055,2881
2023-01-06 18:15:00,1.06053,1.06143,1.05978,1.06044,2603
2023-01-06 18:30:00,1.06044,1.06207,1.06038,1.06169,2417
2023-01-06 18:45:00,1.06169,1.06226,1.06149,1.06187,2228
2023-01-06 19:00:00,1.06187,1.06239,1.0618,1.06198,1738
2023-01-06 19:15:00,1.06196,1.06225,1.06166,1.06224,1216
2023-01-06 19:30:00,1.06226,1.06331,1.06213,1.0633,1298
2023-01-06 19:45:00,1.0633,1.06382,1.06281,1.0637699999999999,1560
2023-01-06 20:00:00,1.06378,1.06397,1.06317,1.0635,1204
2023-01-06 20:15:00,1.06351,1.0636700000000001,1.06295,1.06348,1030
2023-01-06 20:30:00,1.06349,1.06437,1.06322,1.06427,1053
2023-01-06 20:45:00,1.06424,1.06424,1.06366,1.06378,1057
2023-01-06 21:00:00,1.06378,1.06479,1.06378,1.06436,1127
2023-01-06 21:15:00,1.06437,1.06464,1.06411,1.06442,1071
2023-01-06 21:30:00,1.06442,1.06479,1.06434,1.06456,952
2023-01-06 21:45:00,1.06457,1.06474,1.06415,1.06456,1134
2023-01-06 22:00:00,1.06456,1.06476,1.06427,1.0643,1101
2023-01-06 22:15:00,1.0643,1.0648,1.0643,1.06477,1153
2023-01-06 22:30:00,1.06475,1.06481,1.06453,1.06459,784
2023-01-06 22:45:00,1.06459,1.06474,1.06432,1.06462,1205
2023-01-06 23:00:00,1.06461,1.06461,1.0642800000000001,1.06437,598
2023-01-06 23:15:00,1.06435,1.06452,1.06429,1.06439,353
2023-01-06 23:30:00,1.06439,1.0645,1.0642800000000001,1.06431,127
2023-01-06 23:45:00,1.06432,1.06446,1.06418,1.06427,320
2023-01-09 00:00:00,1.06394,1.06397,1.06371,1.06392,90
2023-01-09 00:15:00,1.0639,1.06398,1.06382,1.06397,78
2023-01-09 00:30:00,1.06392,1.06404,1.0636,1.06392,111
2023-01-09 00:45:00,1.06392,1.06397,1.0637699999999999,1.06388,123
2023-01-09 01:00:00,1.06394,1.06476,1.06394,1.06466,364
2023-01-09 01:15:00,1.06466,1.06567,1.06454,1.0656,599
2023-01-09 01:30:00,1.0656,1.06572,1.06515,1.0654,747
2023-01-09 01:45:00,1.06542,1.06628,1.06535,1.06623,712
2023-01-09 02:00:00,1.06623,1.06675,1.06585,1.06645,1146
2023-01-09 02:15:00,1.06643,1.06646,1.06524,1.06536,791
2023-01-09 02:30:00,1.06535,1.06568,1.06523,1.06524,493
2023-01-09 02:45:00,1.06524,1.06613,1.06516,1.06612,404
2023-01-09 03:00:00,1.06613,1.06664,1.06589,1.06593,705
2023-01-09 03:15:00,1.06592,1.06639,1.06551,1.06627,1080
